"","Theatre","Show","Type","Date","Year","Month","Avg_Attendance","Avg_Gross","Avg_Capacity"
"109","Nederlander","Rent","Musical","1/23/00",2000,1,7998,436514,85
"110","Minskoff","Saturday Night Fever","Musical","1/23/00",2000,1,9795,619656,73
"111","St. James","Swing!","Musical","1/23/00",2000,1,7862,357520,57
"112","New Amsterdam","The Lion King","Musical","1/23/00",2000,1,14509,930450,101
"113","Majestic","The Phantom Of The Opera","Musical","1/23/00",2000,1,9896,523618,77
"114","Royale","The Price 99","Play","1/23/00",2000,1,5699,177566,66
"115","Brooks Atkinson","The Rainmaker","Play","1/23/00",2000,1,6213,232976,78
"116","Walter Kerr","Waiting In The Wings","Play","1/23/00",2000,1,4798,290326,63
"117","Eugene O'Neill","Wrong Mountain","Play","1/23/00",2000,1,2253,65195,25
"118","Music Box","Amadeus","Play","1/30/00",2000,1,5213,223503,66
"119","Marquis","Annie Get Your Gun","Musical","1/30/00",2000,1,10004,506566,78
"120","Lunt-Fontanne","Beauty And The Beast","Musical","1/30/00",2000,1,8593,403743,73
"121","Studio 54 ('98)","Cabaret 98","Musical","1/30/00",2000,1,6461,427209,88
"122","Winter Garden","Cats","Musical","1/30/00",2000,1,5470,229414,46
"123","Shubert","Chicago","Musical","1/30/00",2000,1,8990,537808,77
"124","Booth","Dame Edna: The Royal Tour","Play","1/30/00",2000,1,4281,242337,70
"125","Richard Rodgers","Footloose","Musical","1/30/00",2000,1,8581,324326,80
"126","Broadhurst","Fosse","Musical","1/30/00",2000,1,6426,445935,70
"127","Golden","Jackie Mason: Much Ado About Everything","Play","1/30/00",2000,1,3162,161269,91
"128","Belasco","James Joyce'S The Dead","Musical","1/30/00",2000,1,5349,275615,67
"129","Plymouth","Jekyll & Hyde","Musical","1/30/00",2000,1,6389,328970,75
"130","Martin Beck","Kiss Me, Kate","Musical","1/30/00",2000,1,9654,620732,85
"131","Imperial","Les Miserables","Musical","1/30/00",2000,1,7987,360060,70
"132","Broadway","Miss Saigon","Musical","1/30/00",2000,1,6664,302842,48
"133","Ethel Barrymore","Putting It Together","Musical","1/30/00",2000,1,5404,302522,62
"134","Nederlander","Rent","Musical","1/30/00",2000,1,7630,389344,81
"135","Minskoff","Saturday Night Fever","Musical","1/30/00",2000,1,10422,573872,77
"136","St. James","Swing!","Musical","1/30/00",2000,1,8164,352163,60
"137","New Amsterdam","The Lion King","Musical","1/30/00",2000,1,14520,931178,101
"138","Majestic","The Phantom Of The Opera","Musical","1/30/00",2000,1,10804,552114,84
"139","Royale","The Price 99","Play","1/30/00",2000,1,5060,171850,59
"140","Walter Kerr","Waiting In The Wings","Play","1/30/00",2000,1,3931,231819,52
"141","Eugene O'Neill","Wrong Mountain","Play","1/30/00",2000,1,2571,72562,29
"142","Music Box","Amadeus","Play","2/6/00",2000,2,4847,210025,61
"143","Marquis","Annie Get Your Gun","Musical","2/6/00",2000,2,9267,471339,73
"144","Lunt-Fontanne","Beauty And The Beast","Musical","2/6/00",2000,2,8679,426611,74
"145","Studio 54 ('98)","Cabaret 98","Musical","2/6/00",2000,2,6439,423816,87
"146","Winter Garden","Cats","Musical","2/6/00",2000,2,5532,236115,47
"147","Shubert","Chicago","Musical","2/6/00",2000,2,8909,537371,76
"148","Booth","Dame Edna: The Royal Tour","Play","2/6/00",2000,2,4163,220746,68
"149","Richard Rodgers","Footloose","Musical","2/6/00",2000,2,7854,306914,73
"150","Broadhurst","Fosse","Musical","2/6/00",2000,2,6167,418778,68
"151","Golden","Jackie Mason: Much Ado About Everything","Play","2/6/00",2000,2,3148,161823,91
"152","Belasco","James Joyce'S The Dead","Musical","2/6/00",2000,2,5631,288094,71
"153","Plymouth","Jekyll & Hyde","Musical","2/6/00",2000,2,6412,328173,75
"154","Martin Beck","Kiss Me, Kate","Musical","2/6/00",2000,2,9476,609090,83
"155","Imperial","Les Miserables","Musical","2/6/00",2000,2,7756,354250,68
"156","Broadway","Miss Saigon","Musical","2/6/00",2000,2,6203,265584,44
"157","Ethel Barrymore","Putting It Together","Musical","2/6/00",2000,2,5625,292941,64
"158","Nederlander","Rent","Musical","2/6/00",2000,2,7787,399676,82
