"","Theatre","Show","Type","Date","Year","Month","Avg_Attendance","Avg_Gross","Avg_Capacity"
"11839","Richard Rodgers","Cyrano De Bergerac","Play","12/16/07",2007,12,10242,945061,95
"11840","St. James","Dr. Seuss' How The Grinch Stole Christmas! 07","Musical","12/16/07",2007,12,20425,1572719,80
"11841","Brooks Atkinson","Grease 07","Musical","12/16/07",2007,12,7270,692636,85
"11842","Neil Simon","Hairspray","Musical","12/16/07",2007,12,8732,643865,76
"11843","Lyceum","Is He Dead?","Play","12/16/07",2007,12,4083,202357,55
"11844","August Wilson","Jersey Boys","Musical","12/16/07",2007,12,9834,1263204,101
"11845","Palace","Legally Blonde","Musical","12/16/07",2007,12,7988,613438,59
"11846","Broadhurst","Les Miserables 2006","Musical","12/16/07",2007,12,7864,538977,88
"11847","Winter Garden","Mamma Mia!","Musical","12/16/07",2007,12,10122,783366,84
"11848","New Amsterdam","Mary Poppins","Musical","12/16/07",2007,12,12016,973522,84
"11849","Shubert","Monty Python'S Spamalot","Musical","12/16/07",2007,12,8620,604118,75
"11850","American Airlines","Pygmalion 07","Play","12/16/07",2007,12,5168,304814,87
"11851","Nederlander","Rent","Musical","12/16/07",2007,12,4018,199907,43
"11852","Jacobs","Rock 'N' Roll","Play","12/16/07",2007,12,6056,403875,70
"11853","Eugene O'Neill","Spring Awakening","Musical","12/16/07",2007,12,6884,555515,79
"11854","Circle In The Square","The 25Th Annual Putnam County Spelling Bee","Musical","12/16/07",2007,12,3479,180189,64
"11855","Broadway","The Color Purple","Musical","12/16/07",2007,12,9839,663030,72
"11856","Marquis","The Drowsy Chaperone","Musical","12/16/07",2007,12,5069,336058,39
"11857","Music Box","The Farnsworth Invention","Play","12/16/07",2007,12,4542,289972,56
"11858","Cort","The Homecoming 07","Play","12/16/07",2007,12,3369,165679,39
"11859","Minskoff","The Lion King","Musical","12/16/07",2007,12,11616,1126140,88
"11860","Lunt-Fontanne","The Little Mermaid","Musical","12/16/07",2007,12,11897,1024744,99
"11861","Majestic","The Phantom Of The Opera","Musical","12/16/07",2007,12,8715,614595,68
"11862","Booth","The Seafarer","Play","12/16/07",2007,12,4590,238605,74
"11863","Gershwin","Wicked","Musical","12/16/07",2007,12,14420,1449240,100
"11864","Helen Hayes","Xanadu","Musical","12/16/07",2007,12,2412,191820,51
"11865","Hilton Theatre","Young Frankenstein","Musical","12/16/07",2007,12,13377,1500000,91
"11866","Walter Kerr","A Bronx Tale","Play","12/23/07",2007,12,4369,284568,58
"11867","Schoenfeld","A Chorus Line '06","Musical","12/23/07",2007,12,4690,346161,55
"11868","Imperial","August: Osage County","Play","12/23/07",2007,12,8079,484101,70
"11869","Golden","Avenue Q","Musical","12/23/07",2007,12,4134,320705,65
"11870","Ambassador","Chicago","Musical","12/23/07",2007,12,6249,457866,83
"11871","Al Hirschfeld","Curtains","Musical","12/23/07",2007,12,6960,514481,61
"11872","Vivian Beaumont","Cymbeline","Play","12/23/07",2007,12,2908,167249,35
"11873","Richard Rodgers","Cyrano De Bergerac","Play","12/23/07",2007,12,10160,944747,94
"11874","St. James","Dr. Seuss' How The Grinch Stole Christmas! 07","Musical","12/23/07",2007,12,19982,1645221,78
"11875","Brooks Atkinson","Grease 07","Musical","12/23/07",2007,12,6859,706196,80
"11876","Neil Simon","Hairspray","Musical","12/23/07",2007,12,8891,722977,78
"11877","Lyceum","Is He Dead?","Play","12/23/07",2007,12,4936,223732,67
"11878","August Wilson","Jersey Boys","Musical","12/23/07",2007,12,9803,1263193,100
"11879","Palace","Legally Blonde","Musical","12/23/07",2007,12,8840,687767,65
"11880","Broadhurst","Les Miserables 2006","Musical","12/23/07",2007,12,8529,657147,95
"11881","Winter Garden","Mamma Mia!","Musical","12/23/07",2007,12,10604,844834,88
"11882","New Amsterdam","Mary Poppins","Musical","12/23/07",2007,12,12878,1141646,90
"11883","Shubert","Monty Python'S Spamalot","Musical","12/23/07",2007,12,10200,774732,88
"11884","Ethel Barrymore","November","Play","12/23/07",2007,12,4082,266490,64
"11885","Nederlander","Rent","Musical","12/23/07",2007,12,5466,322344,58
"11886","Jacobs","Rock 'N' Roll","Play","12/23/07",2007,12,6339,446104,74
"11887","Eugene O'Neill","Spring Awakening","Musical","12/23/07",2007,12,6609,547811,87
"11888","Circle In The Square","The 25Th Annual Putnam County Spelling Bee","Musical","12/23/07",2007,12,3873,227608,71
"11889","Broadway","The Color Purple","Musical","12/23/07",2007,12,10561,695264,77
"11890","Marquis","The Drowsy Chaperone","Musical","12/23/07",2007,12,6856,399531,53
"11891","Music Box","The Farnsworth Invention","Play","12/23/07",2007,12,4254,284259,53
"11892","Cort","The Homecoming 07","Play","12/23/07",2007,12,4394,247572,51
"11893","Minskoff","The Lion King","Musical","12/23/07",2007,12,12694,1361604,96
"11894","Lunt-Fontanne","The Little Mermaid","Musical","12/23/07",2007,12,11994,1183665,100
"11895","Majestic","The Phantom Of The Opera","Musical","12/23/07",2007,12,10151,747878,79
"11896","Booth","The Seafarer","Play","12/23/07",2007,12,4892,274489,78
"11897","Gershwin","Wicked","Musical","12/23/07",2007,12,14472,1707129,100
"11898","Helen Hayes","Xanadu","Musical","12/23/07",2007,12,2622,200789,55
"11899","Hilton Theatre","Young Frankenstein","Musical","12/23/07",2007,12,13641,1550000,93
"11900","Walter Kerr","A Bronx Tale","Play","12/30/07",2007,12,4357,320586,57
"11901","Schoenfeld","A Chorus Line '06","Musical","12/30/07",2007,12,8560,731513,100
"11902","Imperial","August: Osage County","Play","12/30/07",2007,12,8943,599852,78
"11903","Golden","Avenue Q","Musical","12/30/07",2007,12,6829,597902,95
"11904","Ambassador","Chicago","Musical","12/30/07",2007,12,9415,857214,97
"11905","Al Hirschfeld","Curtains","Musical","12/30/07",2007,12,8237,779421,72
"11906","Vivian Beaumont","Cymbeline","Play","12/30/07",2007,12,3752,218252,51
"11907","Richard Rodgers","Cyrano De Bergerac","Play","12/30/07",2007,12,9439,909415,88
"11908","St. James","Dr. Seuss' How The Grinch Stole Christmas! 07","Musical","12/30/07",2007,12,17310,1465680,68
"11909","Brooks Atkinson","Grease 07","Musical","12/30/07",2007,12,9716,1140813,101
"11910","Neil Simon","Hairspray","Musical","12/30/07",2007,12,11503,1093101,101
"11911","Lyceum","Is He Dead?","Play","12/30/07",2007,12,3824,250409,52
"11912","August Wilson","Jersey Boys","Musical","12/30/07",2007,12,9854,1373842,101
"11913","Palace","Legally Blonde","Musical","12/30/07",2007,12,12829,1219488,95
"11914","Broadhurst","Les Miserables 2006","Musical","12/30/07",2007,12,9127,934349,102
"11915","Winter Garden","Mamma Mia!","Musical","12/30/07",2007,12,13604,1422454,101
"11916","New Amsterdam","Mary Poppins","Musical","12/30/07",2007,12,14516,1465794,101
"11917","Shubert","Monty Python'S Spamalot","Musical","12/30/07",2007,12,11730,1107136,102
"11918","Ethel Barrymore","November","Play","12/30/07",2007,12,5489,404408,65
"11919","Nederlander","Rent","Musical","12/30/07",2007,12,8784,613560,83
"11920","Jacobs","Rock 'N' Roll","Play","12/30/07",2007,12,5852,473205,68
"11921","Eugene O'Neill","Spring Awakening","Musical","12/30/07",2007,12,9696,937503,99
"11922","Circle In The Square","The 25Th Annual Putnam County Spelling Bee","Musical","12/30/07",2007,12,4817,384480,88
"11923","Broadway","The Color Purple","Musical","12/30/07",2007,12,11266,1004321,73
"11924","Marquis","The Drowsy Chaperone","Musical","12/30/07",2007,12,10631,782892,82
"11925","Music Box","The Farnsworth Invention","Play","12/30/07",2007,12,4732,346739,59
"11926","Cort","The Homecoming 07","Play","12/30/07",2007,12,4852,311171,56
"11927","Minskoff","The Lion King","Musical","12/30/07",2007,12,13236,1571941,100
"11928","Lunt-Fontanne","The Little Mermaid","Musical","12/30/07",2007,12,12142,1325393,101
"11929","Majestic","The Phantom Of The Opera","Musical","12/30/07",2007,12,13006,1196443,101
"11930","Booth","The Seafarer","Play","12/30/07",2007,12,4426,309393,71
"11931","Gershwin","Wicked","Musical","12/30/07",2007,12,14472,1839950,100
"11932","Helen Hayes","Xanadu","Musical","12/30/07",2007,12,3726,332153,78
"11933","Hilton Theatre","Young Frankenstein","Musical","12/30/07",2007,12,14525,1860000,99
"11934","Walter Kerr","A Bronx Tale","Play","1/6/08",2008,1,3506,259101,46
"11935","Schoenfeld","A Chorus Line '06","Musical","1/6/08",2008,1,7666,502712,90
"11936","Imperial","August: Osage County","Play","1/6/08",2008,1,7799,545945,68
"11937","Golden","Avenue Q","Musical","1/6/08",2008,1,4580,338178,82
"11938","Ambassador","Chicago","Musical","1/6/08",2008,1,7482,561857,87
"11939","Biltmore","Come Back, Little Sheba","Play","1/6/08",2008,1,1771,87185,54
"11940","Al Hirschfeld","Curtains","Musical","1/6/08",2008,1,7799,559642,69
"11941","Vivian Beaumont","Cymbeline","Play","1/6/08",2008,1,3918,230226,47
"11942","Richard Rodgers","Cyrano De Bergerac","Play","1/6/08",2008,1,10392,905526,96
"11943","St. James","Dr. Seuss' How The Grinch Stole Christmas! 07","Musical","1/6/08",2008,1,11220,647223,55
"11944","Brooks Atkinson","Grease 07","Musical","1/6/08",2008,1,7405,669303,99
"11945","Neil Simon","Hairspray","Musical","1/6/08",2008,1,10520,785790,92
"11946","Lyceum","Is He Dead?","Play","1/6/08",2008,1,4567,216570,62
"11947","August Wilson","Jersey Boys","Musical","1/6/08",2008,1,9855,1229925,101
"11948","Palace","Legally Blonde","Musical","1/6/08",2008,1,10599,759972,78
"11949","Broadhurst","Les Miserables 2006","Musical","1/6/08",2008,1,9072,878076,101
"11950","Winter Garden","Mamma Mia!","Musical","1/6/08",2008,1,10128,816353,97
"11951","New Amsterdam","Mary Poppins","Musical","1/6/08",2008,1,13504,1080290,94
"11952","Shubert","Monty Python'S Spamalot","Musical","1/6/08",2008,1,10956,828149,95
"11953","Ethel Barrymore","November","Play","1/6/08",2008,1,6185,362138,73
"11954","Nederlander","Rent","Musical","1/6/08",2008,1,5917,343967,72
"11955","Jacobs","Rock 'N' Roll","Play","1/6/08",2008,1,6646,445912,77
"11956","Eugene O'Neill","Spring Awakening","Musical","1/6/08",2008,1,8358,646678,96
"11957","Circle In The Square","The 25Th Annual Putnam County Spelling Bee","Musical","1/6/08",2008,1,4338,257836,79
"11958","American Airlines","The 39 Steps","Play","1/6/08",2008,1,2356,113696,80
"11959","Broadway","The Color Purple","Musical","1/6/08",2008,1,8413,770006,70
"11960","Music Box","The Farnsworth Invention","Play","1/6/08",2008,1,4583,276381,57
"11961","Cort","The Homecoming 07","Play","1/6/08",2008,1,5404,335279,62
"11962","Minskoff","The Lion King","Musical","1/6/08",2008,1,12975,1294953,98
"11963","Lunt-Fontanne","The Little Mermaid","Musical","1/6/08",2008,1,12124,1130940,101
"11964","Majestic","The Phantom Of The Opera","Musical","1/6/08",2008,1,12236,893398,95
"11965","Booth","The Seafarer","Play","1/6/08",2008,1,3721,240757,60
"11966","Gershwin","Wicked","Musical","1/6/08",2008,1,14472,1494991,100
"11967","Helen Hayes","Xanadu","Musical","1/6/08",2008,1,3297,230398,69
"11968","Hilton Theatre","Young Frankenstein","Musical","1/6/08",2008,1,12963,1360000,89
"11969","Walter Kerr","A Bronx Tale","Play","1/13/08",2008,1,3830,294854,58
"11970","Schoenfeld","A Chorus Line '06","Musical","1/13/08",2008,1,5670,349471,66
"11971","Imperial","August: Osage County","Play","1/13/08",2008,1,8583,603293,75
"11972","Golden","Avenue Q","Musical","1/13/08",2008,1,5467,367582,86
"11973","Ambassador","Chicago","Musical","1/13/08",2008,1,5556,377829,64
"11974","Biltmore","Come Back, Little Sheba","Play","1/13/08",2008,1,3083,152027,59
"11975","Al Hirschfeld","Curtains","Musical","1/13/08",2008,1,7455,504241,66
"11976","Brooks Atkinson","Grease 07","Musical","1/13/08",2008,1,6655,564954,78
"11977","Neil Simon","Hairspray","Musical","1/13/08",2008,1,8160,552541,71
"11978","Lyceum","Is He Dead?","Play","1/13/08",2008,1,5073,229137,69
"11979","August Wilson","Jersey Boys","Musical","1/13/08",2008,1,9812,1172218,100
"11980","Palace","Legally Blonde","Musical","1/13/08",2008,1,7793,530107,58
"11981","Winter Garden","Mamma Mia!","Musical","1/13/08",2008,1,9676,704242,81
"11982","New Amsterdam","Mary Poppins","Musical","1/13/08",2008,1,11670,834991,81
"11983","Shubert","Monty Python'S Spamalot","Musical","1/13/08",2008,1,9596,659488,83
"11984","Ethel Barrymore","November","Play","1/13/08",2008,1,6168,393713,73
"11985","Nederlander","Rent","Musical","1/13/08",2008,1,5151,265191,55
"11986","Jacobs","Rock 'N' Roll","Play","1/13/08",2008,1,6879,467113,80
"11987","Eugene O'Neill","Spring Awakening","Musical","1/13/08",2008,1,7183,524573,82
"11988","Circle In The Square","The 25Th Annual Putnam County Spelling Bee","Musical","1/13/08",2008,1,3993,218471,73
"11989","American Airlines","The 39 Steps","Play","1/13/08",2008,1,4357,209777,74
"11990","Broadway","The Color Purple","Musical","1/13/08",2008,1,6307,388937,46
"11991","Music Box","The Farnsworth Invention","Play","1/13/08",2008,1,4977,278820,62
"11992","Cort","The Homecoming 07","Play","1/13/08",2008,1,5719,366273,66
"11993","Minskoff","The Lion King","Musical","1/13/08",2008,1,12156,1024955,92
"11994","Lunt-Fontanne","The Little Mermaid","Musical","1/13/08",2008,1,12044,922053,100
"11995","Majestic","The Phantom Of The Opera","Musical","1/13/08",2008,1,10493,646082,82
"11996","Booth","The Seafarer","Play","1/13/08",2008,1,4740,297402,76
"11997","Gershwin","Wicked","Musical","1/13/08",2008,1,14181,1400269,98
"11998","Helen Hayes","Xanadu","Musical","1/13/08",2008,1,2723,173750,57
"11999","Hilton Theatre","Young Frankenstein","Musical","1/13/08",2008,1,12830,1350000,88
"12000","Walter Kerr","A Bronx Tale","Play","1/20/08",2008,1,3784,268671,57
"12001","Schoenfeld","A Chorus Line '06","Musical","1/20/08",2008,1,5703,378417,67
"12002","Imperial","August: Osage County","Play","1/20/08",2008,1,8491,609017,75
"12003","Golden","Avenue Q","Musical","1/20/08",2008,1,5341,360921,84
"12004","Ambassador","Chicago","Musical","1/20/08",2008,1,5423,373213,63
"12005","Biltmore","Come Back, Little Sheba","Play","1/20/08",2008,1,3007,150571,58
"12006","Al Hirschfeld","Curtains","Musical","1/20/08",2008,1,7166,540244,63
"12007","Brooks Atkinson","Grease 07","Musical","1/20/08",2008,1,6898,619075,80
"12008","Neil Simon","Hairspray","Musical","1/20/08",2008,1,8906,640692,78
"12009","Lyceum","Is He Dead?","Play","1/20/08",2008,1,4840,232254,66
"12010","August Wilson","Jersey Boys","Musical","1/20/08",2008,1,9808,1157164,100
"12011","Palace","Legally Blonde","Musical","1/20/08",2008,1,9551,668409,71
"12012","Winter Garden","Mamma Mia!","Musical","1/20/08",2008,1,10001,765173,83
"12013","New Amsterdam","Mary Poppins","Musical","1/20/08",2008,1,11725,896735,82
"12014","Shubert","Monty Python'S Spamalot","Musical","1/20/08",2008,1,10141,797390,88
"12015","Ethel Barrymore","November","Play","1/20/08",2008,1,5746,415167,68
"12016","Nederlander","Rent","Musical","1/20/08",2008,1,6243,333226,66
"12017","Jacobs","Rock 'N' Roll","Play","1/20/08",2008,1,6536,437825,76
"12018","Eugene O'Neill","Spring Awakening","Musical","1/20/08",2008,1,7176,526696,82
"12019","Circle In The Square","The 25Th Annual Putnam County Spelling Bee","Musical","1/20/08",2008,1,4661,282053,85
"12020","American Airlines","The 39 Steps","Play","1/20/08",2008,1,4303,206358,73
"12021","Broadway","The Color Purple","Musical","1/20/08",2008,1,8576,477154,62
"12022","Music Box","The Farnsworth Invention","Play","1/20/08",2008,1,4836,290705,60
"12023","Cort","The Homecoming 07","Play","1/20/08",2008,1,4594,299147,53
"12024","Minskoff","The Lion King","Musical","1/20/08",2008,1,11904,1050324,90
"12025","Lunt-Fontanne","The Little Mermaid","Musical","1/20/08",2008,1,11137,950655,92
"12026","Majestic","The Phantom Of The Opera","Musical","1/20/08",2008,1,9963,636835,77
"12027","Booth","The Seafarer","Play","1/20/08",2008,1,4995,316212,79
"12028","Gershwin","Wicked","Musical","1/20/08",2008,1,13888,1371768,96
"12029","Helen Hayes","Xanadu","Musical","1/20/08",2008,1,3323,218989,70
"12030","Hilton Theatre","Young Frankenstein","Musical","1/20/08",2008,1,11867,1260000,81
"12031","Walter Kerr","A Bronx Tale","Play","1/27/08",2008,1,3880,271505,58
"12032","Schoenfeld","A Chorus Line '06","Musical","1/27/08",2008,1,5083,302599,59
"12033","Imperial","August: Osage County","Play","1/27/08",2008,1,8034,577927,71
"12034","Golden","Avenue Q","Musical","1/27/08",2008,1,4526,291067,71
"12035","Ambassador","Chicago","Musical","1/27/08",2008,1,4649,312874,54
"12036","Biltmore","Come Back, Little Sheba","Play","1/27/08",2008,1,2807,149607,54
"12037","Al Hirschfeld","Curtains","Musical","1/27/08",2008,1,6476,430822,57
"12038","Brooks Atkinson","Grease 07","Musical","1/27/08",2008,1,6390,518870,75
"12039","Neil Simon","Hairspray","Musical","1/27/08",2008,1,7481,495500,65
"12040","Lyceum","Is He Dead?","Play","1/27/08",2008,1,4147,201245,56
"12041","August Wilson","Jersey Boys","Musical","1/27/08",2008,1,9725,1120796,99
"12042","Palace","Legally Blonde","Musical","1/27/08",2008,1,7522,500477,56
"12043","Winter Garden","Mamma Mia!","Musical","1/27/08",2008,1,8949,643752,75
"12044","New Amsterdam","Mary Poppins","Musical","1/27/08",2008,1,10682,771666,74
"12045","Shubert","Monty Python'S Spamalot","Musical","1/27/08",2008,1,7870,591045,68
"12046","Ethel Barrymore","November","Play","1/27/08",2008,1,6196,478367,73
"12047","Nederlander","Rent","Musical","1/27/08",2008,1,5476,293766,58
"12048","Jacobs","Rock 'N' Roll","Play","1/27/08",2008,1,5005,327149,58
"12049","Eugene O'Neill","Spring Awakening","Musical","1/27/08",2008,1,6479,459491,74
"12050","Studio 54","Sunday In The Park With George '08","Musical","1/27/08",2008,1,4656,251038,93
"12051","American Airlines","The 39 Steps","Play","1/27/08",2008,1,5202,263649,88
"12052","Broadway","The Color Purple","Musical","1/27/08",2008,1,8122,436895,59
"12053","Music Box","The Farnsworth Invention","Play","1/27/08",2008,1,4893,271173,61
"12054","Cort","The Homecoming 07","Play","1/27/08",2008,1,4062,263798,47
"12055","Minskoff","The Lion King","Musical","1/27/08",2008,1,11261,944846,85
"12056","Lunt-Fontanne","The Little Mermaid","Musical","1/27/08",2008,1,10698,912613,88
"12057","Majestic","The Phantom Of The Opera","Musical","1/27/08",2008,1,9538,595817,74
"12058","Booth","The Seafarer","Play","1/27/08",2008,1,4348,266206,69
"12059","Gershwin","Wicked","Musical","1/27/08",2008,1,14341,1343579,99
"12060","Helen Hayes","Xanadu","Musical","1/27/08",2008,1,2450,162947,51
"12061","Hilton Theatre","Young Frankenstein","Musical","1/27/08",2008,1,11140,1190000,76
"12062","Walter Kerr","A Bronx Tale","Play","2/3/08",2008,2,3452,233266,52
"12063","Schoenfeld","A Chorus Line '06","Musical","2/3/08",2008,2,4363,261231,51
"12064","Imperial","August: Osage County","Play","2/3/08",2008,2,7778,559401,69
"12065","Golden","Avenue Q","Musical","2/3/08",2008,2,3800,233724,60
"12066","Ambassador","Chicago","Musical","2/3/08",2008,2,3697,245076,43
"12067","Biltmore","Come Back, Little Sheba","Play","2/3/08",2008,2,3669,205016,71
"12068","Al Hirschfeld","Curtains","Musical","2/3/08",2008,2,5380,370435,47
"12069","Brooks Atkinson","Grease 07","Musical","2/3/08",2008,2,5825,476769,68
"12070","Neil Simon","Hairspray","Musical","2/3/08",2008,2,6723,434066,59
"12071","Lyceum","Is He Dead?","Play","2/3/08",2008,2,3262,165165,44
"12072","August Wilson","Jersey Boys","Musical","2/3/08",2008,2,9534,1081839,98
"12073","Palace","Legally Blonde","Musical","2/3/08",2008,2,7901,437635,58
"12074","Winter Garden","Mamma Mia!","Musical","2/3/08",2008,2,8338,600571,70
"12075","New Amsterdam","Mary Poppins","Musical","2/3/08",2008,2,9216,670553,64
"12076","Shubert","Monty Python'S Spamalot","Musical","2/3/08",2008,2,6936,502097,60
"12077","Ethel Barrymore","November","Play","2/3/08",2008,2,5397,424198,64
"12078","Nederlander","Rent","Musical","2/3/08",2008,2,5078,254859,54
"12079","Jacobs","Rock 'N' Roll","Play","2/3/08",2008,2,4667,290822,54
"12080","Eugene O'Neill","Spring Awakening","Musical","2/3/08",2008,2,6098,416865,70
"12081","Studio 54","Sunday In The Park With George '08","Musical","2/3/08",2008,2,6940,369396,86
"12082","American Airlines","The 39 Steps","Play","2/3/08",2008,2,5076,261870,86
"12083","Broadway","The Color Purple","Musical","2/3/08",2008,2,7342,407422,53
"12084","Music Box","The Farnsworth Invention","Play","2/3/08",2008,2,3473,186343,43
"12085","Cort","The Homecoming 07","Play","2/3/08",2008,2,3871,227557,45
"12086","Minskoff","The Lion King","Musical","2/3/08",2008,2,10684,875769,81
"12087","Lunt-Fontanne","The Little Mermaid","Musical","2/3/08",2008,2,9679,860403,80
"12088","Majestic","The Phantom Of The Opera","Musical","2/3/08",2008,2,7653,475303,60
"12089","Booth","The Seafarer","Play","2/3/08",2008,2,4067,235698,65
"12090","Gershwin","Wicked","Musical","2/3/08",2008,2,14268,1344206,99
"12091","Helen Hayes","Xanadu","Musical","2/3/08",2008,2,2430,153328,51
"12092","Hilton Theatre","Young Frankenstein","Musical","2/3/08",2008,2,10436,1000000,71
"12093","Walter Kerr","A Bronx Tale","Play","2/10/08",2008,2,3769,257830,57
"12094","Schoenfeld","A Chorus Line '06","Musical","2/10/08",2008,2,5445,331333,64
"12095","Imperial","August: Osage County","Play","2/10/08",2008,2,7347,535598,65
"12096","Golden","Avenue Q","Musical","2/10/08",2008,2,4505,290751,71
"12097","Ambassador","Chicago","Musical","2/10/08",2008,2,4710,316125,55
"12098","Biltmore","Come Back, Little Sheba","Play","2/10/08",2008,2,3644,208047,70
"12099","Al Hirschfeld","Curtains","Musical","2/10/08",2008,2,6715,449637,59
"12100","Brooks Atkinson","Grease 07","Musical","2/10/08",2008,2,7226,549274,84
"12101","Neil Simon","Hairspray","Musical","2/10/08",2008,2,8758,553549,77
"12102","Lyceum","Is He Dead?","Play","2/10/08",2008,2,3495,172872,47
"12103","August Wilson","Jersey Boys","Musical","2/10/08",2008,2,9564,1127362,98
"12104","Palace","Legally Blonde","Musical","2/10/08",2008,2,8211,554401,61
"12105","Winter Garden","Mamma Mia!","Musical","2/10/08",2008,2,9807,686709,82
"12106","New Amsterdam","Mary Poppins","Musical","2/10/08",2008,2,11235,731687,78
"12107","Shubert","Monty Python'S Spamalot","Musical","2/10/08",2008,2,9000,623348,78
"12108","Ethel Barrymore","November","Play","2/10/08",2008,2,5009,380713,59
"12109","Belasco","Passing Strange","Musical","2/10/08",2008,2,1189,55129,39
"12110","Nederlander","Rent","Musical","2/10/08",2008,2,5626,314407,60
"12111","Jacobs","Rock 'N' Roll","Play","2/10/08",2008,2,4644,283207,54
"12112","Eugene O'Neill","Spring Awakening","Musical","2/10/08",2008,2,7191,491070,82
"12113","Studio 54","Sunday In The Park With George '08","Musical","2/10/08",2008,2,7095,372943,88
"12114","American Airlines","The 39 Steps","Play","2/10/08",2008,2,5027,260853,85
"12115","Broadway","The Color Purple","Musical","2/10/08",2008,2,7796,443615,57
"12116","Music Box","The Farnsworth Invention","Play","2/10/08",2008,2,3438,195726,43
"12117","Cort","The Homecoming 07","Play","2/10/08",2008,2,4060,225219,47
"12118","Minskoff","The Lion King","Musical","2/10/08",2008,2,11986,962925,91
"12119","Lunt-Fontanne","The Little Mermaid","Musical","2/10/08",2008,2,10017,889942,82
"12120","Majestic","The Phantom Of The Opera","Musical","2/10/08",2008,2,8852,554729,69
"12121","Booth","The Seafarer","Play","2/10/08",2008,2,4106,243080,65
"12122","Gershwin","Wicked","Musical","2/10/08",2008,2,14132,1310705,98
"12123","Helen Hayes","Xanadu","Musical","2/10/08",2008,2,2964,194215,62
"12124","Hilton Theatre","Young Frankenstein","Musical","2/10/08",2008,2,9918,1000000,68
"12125","Walter Kerr","A Bronx Tale","Play","2/17/08",2008,2,4782,317358,63
"12126","Schoenfeld","A Chorus Line '06","Musical","2/17/08",2008,2,6553,430326,77
"12127","Imperial","August: Osage County","Play","2/17/08",2008,2,7874,571350,69
"12128","Golden","Avenue Q","Musical","2/17/08",2008,2,5486,389728,86
"12129","Broadhurst","Cat On A Hot Tin Roof 08","Play","2/17/08",2008,2,8191,678306,88
"12130","Ambassador","Chicago","Musical","2/17/08",2008,2,6687,485270,77
"12131","Biltmore","Come Back, Little Sheba","Play","2/17/08",2008,2,3762,218598,72
"12132","Al Hirschfeld","Curtains","Musical","2/17/08",2008,2,7959,582440,70
"12133","Brooks Atkinson","Grease 07","Musical","2/17/08",2008,2,8086,711050,94
"12134","Neil Simon","Hairspray","Musical","2/17/08",2008,2,10194,750390,89
"12135","Richard Rodgers","In The Heights","Musical","2/17/08",2008,2,6666,366862,83
"12136","Lyceum","Is He Dead?","Play","2/17/08",2008,2,4162,209777,56
"12137","August Wilson","Jersey Boys","Musical","2/17/08",2008,2,9439,1136337,97
"12138","Palace","Legally Blonde","Musical","2/17/08",2008,2,10929,738942,81
"12139","Winter Garden","Mamma Mia!","Musical","2/17/08",2008,2,10914,857250,91
"12140","New Amsterdam","Mary Poppins","Musical","2/17/08",2008,2,13436,975068,93
"12141","Shubert","Monty Python'S Spamalot","Musical","2/17/08",2008,2,10437,826303,91
"12142","Ethel Barrymore","November","Play","2/17/08",2008,2,5683,446566,67
"12143","Belasco","Passing Strange","Musical","2/17/08",2008,2,2271,101496,32
"12144","Nederlander","Rent","Musical","2/17/08",2008,2,8562,526013,91
"12145","Jacobs","Rock 'N' Roll","Play","2/17/08",2008,2,4273,284190,50
"12146","Eugene O'Neill","Spring Awakening","Musical","2/17/08",2008,2,8141,607961,93
"12147","Studio 54","Sunday In The Park With George '08","Musical","2/17/08",2008,2,7120,367988,89
"12148","American Airlines","The 39 Steps","Play","2/17/08",2008,2,5026,262323,85
"12149","Broadway","The Color Purple","Musical","2/17/08",2008,2,11652,735311,85
"12150","Music Box","The Farnsworth Invention","Play","2/17/08",2008,2,4375,250040,54
"12151","Cort","The Homecoming 07","Play","2/17/08",2008,2,4287,232798,50
"12152","Minskoff","The Lion King","Musical","2/17/08",2008,2,12979,1168780,98
"12153","Lunt-Fontanne","The Little Mermaid","Musical","2/17/08",2008,2,10863,996884,89
"12154","Majestic","The Phantom Of The Opera","Musical","2/17/08",2008,2,11073,726995,86
"12155","Booth","The Seafarer","Play","2/17/08",2008,2,4364,260751,69
"12156","Gershwin","Wicked","Musical","2/17/08",2008,2,14211,1363888,98
"12157","Helen Hayes","Xanadu","Musical","2/17/08",2008,2,3194,224777,67
"12158","Hilton Theatre","Young Frankenstein","Musical","2/17/08",2008,2,10931,1140000,75
"12159","Walter Kerr","A Bronx Tale","Play","2/24/08",2008,2,4752,319717,72
"12160","Schoenfeld","A Chorus Line '06","Musical","2/24/08",2008,2,5505,340510,64
"12161","Imperial","August: Osage County","Play","2/24/08",2008,2,7591,534740,67
"12162","Golden","Avenue Q","Musical","2/24/08",2008,2,5311,335387,83
"12163","Broadhurst","Cat On A Hot Tin Roof 08","Play","2/24/08",2008,2,8764,617693,94
"12164","Ambassador","Chicago","Musical","2/24/08",2008,2,5806,391043,67
"12165","Biltmore","Come Back, Little Sheba","Play","2/24/08",2008,2,3681,209450,71
"12166","Al Hirschfeld","Curtains","Musical","2/24/08",2008,2,8507,562364,75
"12167","Brooks Atkinson","Grease 07","Musical","2/24/08",2008,2,8201,642564,96
"12168","Neil Simon","Hairspray","Musical","2/24/08",2008,2,10899,716713,95
"12169","Richard Rodgers","In The Heights","Musical","2/24/08",2008,2,8685,383511,81
